Step,Measuring Point ID,Flow
0,1,0.022175999999999987
1,1,0.02086799999999999
2,1,0.02093133333333333
3,1,0.020856
4,1,0.0210144
5,1,0.021033333333333334
6,1,0.02089342857142857
7,1,0.0209905
8,1,0.020883777777777775
9,1,0.0207926
10,1,0.020722181818181817
11,1,0.020513666666666666
12,1,0.020340461538461536
13,1,0.019973285714285714
14,1,0.019785066666666667
15,1,0.019344156249999998
15,2,1.013333333333333
16,1,0.018973646367829
16,2,0.7953777753402431
17,1,0.018919456173773396
17,2,0.7275753075586268
18,1,0.018985107480062546
18,2,0.40926111050172753
19,1,0.019143534500756447
19,2,0.26192711072110564
20,1,0.01922409025011923
20,2,0.35775802442052057
21,1,0.01930208636426153
21,2,0.41554104288491783
22,1,0.019546559168813957
22,2,0.3181486109587652
23,1,0.019585843403303094
23,2,0.2513766802637157
24,1,0.019611257280484132
24,2,0.20361511101360968
25,1,0.01959951661585013
26,1,0.019550867852300122
27,1,0.019451479714717976
28,1,0.019324242824139727
29,1,0.019272834730001735
40,3,0.0565685424949238
41,3,0.0282842712474619
42,3,0.018856180831641266
43,3,0.014142135623730949
44,3,0.011313708498984758
